Stein,Herkunft,Besonderheit,Qualität,Farbe,transparent,Schliffart,Cut/Rough,Karat,Länge_mm,Breite_mm,Höhe_mm,Preis,Kategorie,Entstehung,Mine,Schliffform,Schliffqualität,Reinheitsgrad,Farbsättigung,Farbsättigung_1_10,Helligkeit,Farbgrad,Symmetrie,Politur,Kristallqualität,Kristallform,Geschätzte_Karat_Ausbeute,Geeignet_für,Behandelt,Behandlungsart,Behandlungsbeschreibung,Zertifiziert,Zertifizierungs_Labor,Zertifikatsnummer,Zertifikats_URL,Rarität,Verfügbar,Anzahl,SKU,Währung,Kurzbeschreibung,Langbeschreibung,Bilder,Videos,Neu,Featured,Verkauft
Apatit,Brasilien,,VVS,Blau ,transparent,Oktagon,Cut,"1,78",8,"5,95","4,25",69,Apatit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Apatit,Madagaskar,,VVS,Blau ,transparent,Smaragd,Cut,"1,86",7,"5,9","3,9",79,Apatit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Beryll,Ukraine,,VS,Grün ,transparent,Marquise,Cut,"7,45","18,8","9,4",8,449,Beryll,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Danburit,Tansania,Katzenauge,I ,gelb,transparent,Cabochon,Cut,"3,55",10,10,"4,6",429,Danburit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Danburit,Tansania,,SI,gelb,transparent,rund,Cut,"4,3","10,2","10,2","6,9",430,Danburit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Danburit,Mali,,VS,Gelb,transparent,oval,Cut,"4,61","11,95","8,7","6,9",461,Danburit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Kenia,Tsavorit,SI,Grün ,transparent,oval,Cut,"1,52","8,4",6,"3,55",99,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Mali,,VVS,Grün ,transparent,Oval,Cut,"1,55","7,2","5,7","4,7",99,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Tansania,Farbwechsel,VVS,Pink-rot,transparent,oval,Cut,"1,88",8,6,4,299,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Tansania,,VS,orange,transparent,Trilliant,Cut,"2,04","7,1",7,"5,2",129,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Tansania,Mahenge,vvs,Pink-rot,transparent,oval,Cut,"2,74","9,5","67,1",5,199,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Tansania,Tsavorit,SI,Grün ,transparent,Smaragd,Cut,3,"13,5",6,4,999,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Tansania,Farbwechsel,VS,Violett-pink-rot,transparent,Tropfen,Cut,"3,14","11,7","8,1",5,299,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Mozambique,Rhodolit,VVS,Rot-pink,transparent,oval,Cut,"3,96","10,7","7,5",6,399,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Tansania,Umbalith,VVS,Pink-rot,transparent,Rund,Cut,"4,28",10,10,"11,2",329,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Namibia,Spessartit,IF ,Orange-rot,transparent,oval,Cut,"4,33","10,8",8,"5,5",299,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Tansania,Mahenge,VVS,Rot ,transparent,oval,Cut,"4,84",10,"9,3",6,399,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Tansania,Grossular,VVS,Gelb,transparent,Kissen,Cut,"10,14","14,9","12,2","9,3",999,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Granat,Tansania,Rhodolit,VVS,Rot-pink,transparent,Smaragd,Cut,"12,14",14,"11,3","9,5",699,Granat,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Kunzit,Afghanistan,,VVS,Pink,transparent,Oval,Cut,"13,78","16,8",11,"9,9",259,Kunzit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Kunzit,Afghanistan,,VS,Pink,transparent,oval,Cut,"16,02",17,13,9,319,Kunzit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Morganit,Brasilien,,VVS,Peach-pink,transparent,Fancy,Cut,"3,08","10,76","8,97","5,94",249,Morganit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Morganit,Mozambique,,VVS,Peach-pink,transparent,Kissen,Cut,"3,44",13,"7,5",5,269,Morganit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Morganit,Brasilien,,VVS,Peach-pink,transparent,Trilliant,Cut,"4,28","12,84","11,02","5,88",289,Morganit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Morganit,Brasilien,,VVS,Peach-pink,transparent,Tropfen,Cut,"6,76","18,3","9,61","6,72",349,Morganit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Opal,Äthiopien,Welo,VVS,Multi Color ,transparent,freiform,Cut,"1,9",14,6,4,49,Opal,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Opal,Australien,,opaque,Multi Color ,opaque,freiform,Cut,"2,78","11,4x10,5x3,4",,,119,Opal,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Opal,Äthiopien,Welo,VVS,Multi Color ,transparent,freiform,Cut,"4,47","11,6x11x6,8",,,159,Opal,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Opal,Äthiopien,Welo,IF ,Multi Color ,transparent,freiform,Cut,"5,52","16,8x11,1x6,5",,,159,Opal,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Peridot,Burma,Mogok,SI,grün,transparent,Tropfen,Cut,"2,74","10,00x7,60x5,70",,,99,Peridot,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Peridot,Burma,Mogok,SI,grün,transparent,Tropfen,Cut,"4,48","12,50x8,40x6,20",,,199,Peridot,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Saphir,Sri Lanka,,VS,grün,transparent,Oval,Cut,"1,78","8,55x6,54x3,87",,,299,Saphir,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Saphir,Sri Lanka,erhitzt,vs,blau,transparent,oval,Cut,"2,24","8x6x5,7",,,1999,Saphir,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Saphir,Tansania,Farbwechsel,SI,blau,transparent,Kissen,Cut,"2,62","8,9x6,2x5,1",,,699,Saphir,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Saphir,Tansania,No treatment,SI,Grün ,transparent,oval,Cut,"3,27","9,2x8,1x5,9",,,599,Saphir,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Saphir,Tansania,Farbwechsel,SI2,Grün-gelb,transparent,rechteckig,Cut,"4,22","7,5x7,5x6",,,699,Saphir,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Skapolit,Tansania,,VVS,gelblich,transparent,,Cut,8,"13,5x10,8x8,2",,,450,Skapolit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Skapolit,Tansania,Marialit,VS,bronze,transparent,Tropfen,Cut,"13,36","20,3x12,5x10",,,1299,Skapolit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Smaragd,Afghanistan,geölt,VS,grün,transparent,Oktagon,Cut,"1,5","8,77x5,54x3,59",,,399,Smaragd,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Sonnenstein,USA,,VVS,Blau-grün,transparent,Fancy,Cut,"1,93",,,,299,Sonnenstein,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Sonnenstein,USA,,VVS,Rot ,transparent,Marquise,Cut,"3,61",,,,399,Sonnenstein,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Sonnenstein,USA,Schiller,SI,Grün-rot,transparent,Tropfen,Cut,4,"14,7x9,2x5,8",,,319,Sonnenstein,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Sonnenstein,USA,,VVS,Grün ,transparent,Smaragd,Cut,"5,16","12,9x8,5x6",,,419,Sonnenstein,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
