Stein,Herkunft,Besonderheit,Qualität,Farbe,transparent,Schliff,Cut/Rough,Karat,Abmessung,Anmerkung,Versand, Preis,Anzahl,Summe  Karat,Preis/Karat,,,,,,,,,
Saphir,,,,,,,,,,,,"10678,57",48,"298,93","35,72",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"85288,04","9,92",,"8129,55","7371,17",,,,,,,,,,"88271,62"
Stein,Herkunft,Besonderheit,Qualität,Farbe,transparent,Schliff,Cut/Rough,Karat,Abmessung,Preis,durchschnittlicher Karatpreis,Anmerkung,Versand,,,SG,RI,Chelsea,UV kurz,UV lang,Dichroskop,Polariskop,Spektroskop,
Alexandrit,Indien,,SI,,transparent,oval,Cut,"1,46","8,2x5,39x3,78","700,8",480,uv,,,,1,,,,,,,,"1051,2"
Amazonit,Vietnam,,VVS,hell grün,transparent,Kissen,Cut,"5,55","12,3x8,88x2,4",1980,"356,76",DSEF,,,,1,,,,,,,,2970
Amethyst,Kambodscha,2 Stck,VS,Violett,transparent,oval,Cut,"6,3",,53,"8,41",,,,,,,,,,,,,
Amethyst,Uruguay,,VS,,transparent,Trilliant,Cut,"21,54","22,55x20,05x9,76","9,66","0,45",,,,,1,,,,,,,,"14,49"
Amethyst,Sambia,,IF ,,transparent,Oval,Cut,"29,9","22,5x18x12,4","75,61","2,53",,,,,1,,,,,,,,"113,42"
Amethyst,Ruanda,,VVS,Violett,transparent,Tropfen,Cut,30,"28,54x16,43x12,04","31,88","1,06",,,,,,,,,,,,,
Amethyst,Brasilien,,IF ,,transparent,Checkerboard,Cut,"42,25","28,04x19,08x12,21","7,58","0,18",,,,,1,,,,,,,,"11,37"
Amethyst,Uruguay,,IF ,Violett,transparent,oval,Cut,"217,6",45 X 35 X 24,"42,46","0,2",,,,,1,,,,,,,,"63,69"
Andesin,Kongo,,IF ,Orange-rot,transparent,Smaragd,Cut,"3,84","11x9x5,7",792,"206,25",behandelt!!!,,,,1,,,,,,,,1188
Apatit,Brasilien,,VVS,Neon-Blau,transparent,oval,Cut,"1,02",7.08 x 5.10 x 3.73,"7,86","7,71",Ebay,1,"-6,86",,1,,,,,,,,"11,79"
Apatit,Madagaskar,,VVS,,transparent,Rund,Cut,"1,43","7,1x7,1x4,8","18,81","13,15",'–,'–,,,1,,,,,,,,"28,22"
Apatit,Brasilien,,VVS,Blau ,transparent,Kissen,Cut,"1,52","9,00x6,70x2,95","7,39","4,86",,,,,1,,,,,,,,"11,09"
Apatit,Brasilien,,VVS,Blau ,transparent,Oval,Cut,"1,65","9,10x7,00x4,05","7,39","4,48",,,,,1,,,,,,,,"11,09"
Apatit,Mozambique,,VVS,,transparent,Tropfen,Cut,"1,65","10,20x6,10x4,10","7,73","4,68",,,,,1,,,,,,,,"11,6"
Apatit,Brasilien,,VVS,Blau ,transparent,Oktagon,Cut,"1,73","7,90x6,00x4,25","20,36","11,77",,,,,1,,,,,,,,"30,54"
Apatit,Brasilien,,VVS,Blau ,transparent,Oktagon,Cut,"1,78","8,00x5,95x4,25","27,03","15,19",,,,,1,,,,,,,,"40,55"
